,ranking,title,artist,rank_week
3927,28,Lucky You,Eminem Featuring Joyner Lucas,2018-10-06
3928,29,Delicate,Taylor Swift,2018-10-06
3929,30,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-10-06
3930,31,Mo Bamba,Sheck Wes,2018-10-06
3931,32,No Tears Left To Cry,Ariana Grande,2018-10-06
3932,33,Sad!,XXXTENTACION,2018-10-06
3933,34,I Like Me Better,Lauv,2018-10-06
3934,35,Psycho,Post Malone Featuring Ty Dolla $ign,2018-10-06
3935,36,I'm A Mess,Bebe Rexha,2018-10-06
3936,37,The Middle,"Zedd, Maren Morris & Grey",2018-10-06
3937,38,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2018-10-06
3938,39,Nice For What,Drake,2018-10-06
3939,40,Rap Devil,Machine Gun Kelly,2018-10-06
3940,41,Broken,lovelytheband,2018-10-06
3941,42,Simple,Florida Georgia Line,2018-10-06
3942,43,Beautiful,Bazzi Featuring Camila Cabello,2018-10-06
3943,44,Tequila,Dan + Shay,2018-10-06
3944,45,God's Plan,Drake,2018-10-06
3945,46,High Hopes,Panic! At The Disco,2018-10-06
3946,47,No Stylist,French Montana Featuring Drake,2018-10-06
3947,48,She Got The Best Of Me,Luke Combs,2018-10-06
3948,49,Ring,Cardi B Featuring Kehlani,2018-10-06
3949,50,Hotel Key,Old Dominion,2018-10-06
3950,51,Drew Barrymore,Bryce Vine,2018-10-06
3951,52,Blue Tacoma,Russell Dickerson,2018-10-06
3952,53,You Say,Lauren Daigle,2018-10-06
3953,54,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-10-06
3954,55,Africa,Weezer,2018-10-06
3955,56,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-10-06
3956,57,Better,Khalid,2018-10-06
3957,58,Breathin,Ariana Grande,2018-10-06
3958,59,"Sunrise, Sunburn, Sunset",Luke Bryan,2018-10-06
3959,60,Break Up In The End,Cole Swindell,2018-10-06
3960,61,The Way I Am,Charlie Puth,2018-10-06
3961,62,Lie,NF,2018-10-06
3962,63,Lose It,Kane Brown,2018-10-06
3963,64,Head Above Water,Avril Lavigne,2018-10-06
3964,65,W O R K I N M E,Quavo,2018-10-06
3965,66,Medicine,Queen Naija,2018-10-06
3966,67,Drunk Me,Mitchell Tenpenny,2018-10-06
3967,68,Promises,Calvin Harris & Sam Smith,2018-10-06
3968,69,That's On Me,Yella Beezy,2018-10-06
3969,70,Barbie Dreams,Nicki Minaj,2018-10-06
3970,71,Thunderclouds,"Labrinth, Sia & Diplo Present... LSD",2018-10-06
3971,72,All Girls Are The Same,Juice WRLD,2018-10-06
3972,73,Fall,Eminem,2018-10-06
3973,74,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,2018-10-06
3974,75,Best Part,Daniel Caesar Featuring H.E.R.,2018-10-06
3975,76,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-06
3976,77,Speechless,Dan + Shay,2018-10-06
3977,78,Life Changes,Thomas Rhett,2018-10-06
3978,79,Hooked,Dylan Scott,2018-10-06
3979,80,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018-10-06
3980,81,Leave Me Alone,Flipp Dinero,2018-10-06
3981,82,Drunk Girl,Chris Janson,2018-10-06
3982,83,Noticed,Lil Mosey,2018-10-06
3983,84,Yosemite,Travis Scott,2018-10-06
3984,85,Hangin' On,Chris Young,2018-10-06
3985,86,Best Shot,Jimmie Allen,2018-10-06
3986,87,Stargazing,Travis Scott,2018-10-06
3987,88,BEBE,6ix9ine Featuring Anuel AA,2018-10-06
3988,89,Lean Wit Me,Juice WRLD,2018-10-06
3989,90,Self Care,Mac Miller,2018-10-06
3990,91,OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-10-06
3991,92,Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-10-06
3992,93,Remind Me To Forget,Kygo Featuring Miguel,2018-10-06
3993,94,Desperate Man,Eric Church,2018-10-06
3994,95,The Ringer,Eminem,2018-10-06
3995,96,Rich,Maren Morris,2018-10-06
3996,97,Apes**t,The Carters,2018-10-06
3997,98,Hopeless Romantic,Wiz Khalifa Featuring Swae Lee,2018-10-06
3998,99,Solo,Clean Bandit Featuring Demi Lovato,2018-10-06
3999,100,Vaina Loca,Ozuna x Manuel Turizo,2018-10-06
4000,1,Girls Like You,Maroon 5 Featuring Cardi B,2018-10-13
4001,2,Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-10-13
4002,3,Lucid Dreams,Juice WRLD,2018-10-13
4003,4,Better Now,Post Malone,2018-10-13
4004,5,Don't Cry,Lil Wayne Featuring XXXTENTACION,2018-10-13
4005,6,Sicko Mode,Travis Scott,2018-10-13
4006,7,Uproar,Lil Wayne,2018-10-13
4007,8,Youngblood,5 Seconds Of Summer,2018-10-13
4008,9,In My Feelings,Drake,2018-10-13
4009,10,Let It Fly,Lil Wayne Featuring Travis Scott,2018-10-13
4010,11,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-10-13
4011,12,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-10-13
4012,13,Happier,Marshmello & Bastille,2018-10-13
4013,14,Dedicate,Lil Wayne,2018-10-13
4014,15,Taste,Tyga Featuring Offset,2018-10-13
4015,16,Love Lies,Khalid & Normani,2018-10-13
4016,17,Can't Be Broken,Lil Wayne,2018-10-13
4017,18,I Love It,Kanye West & Lil Pump,2018-10-13
4018,19,Natural,Imagine Dragons,2018-10-13
4019,20,Trip,Ella Mai,2018-10-13
4020,21,God Is A Woman,Ariana Grande,2018-10-13
4021,22,Back To You,Selena Gomez,2018-10-13
4022,23,Nonstop,Drake,2018-10-13
4023,24,What About Me,Lil Wayne Featuring Sosamann,2018-10-13
4024,25,Drip Too Hard,Lil Baby & Gunna,2018-10-13
4025,26,Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,2018-10-13
4026,27,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-10-13
4027,28,Shallow,Lady Gaga & Bradley Cooper,2018-10-13
4028,29,Eastside,"benny blanco, Halsey & Khalid",2018-10-13
4029,30,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-10-13
4030,31,Yes Indeed,Lil Baby & Drake,2018-10-13
4031,32,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-10-13
4032,33,Boo'd Up,Ella Mai,2018-10-13
4033,34,Killshot,Eminem,2018-10-13
4034,35,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-10-13
4035,36,Famous,Lil Wayne Featuring Reginae Carter,2018-10-13
4036,37,Delicate,Taylor Swift,2018-10-13
4037,38,Mo Bamba,Sheck Wes,2018-10-13
4038,39,Dope N****z,Lil Wayne Featuring Snoop Dogg,2018-10-13
4039,40,Falling Down,Lil Peep & XXXTENTACION,2018-10-13
4040,41,Sad!,XXXTENTACION,2018-10-13
4041,42,I Like Me Better,Lauv,2018-10-13
4042,43,No Tears Left To Cry,Ariana Grande,2018-10-13
4043,44,Psycho,Post Malone Featuring Ty Dolla $ign,2018-10-13
4044,45,I'm A Mess,Bebe Rexha,2018-10-13
4045,46,The Middle,"Zedd, Maren Morris & Grey",2018-10-13
4046,47,Open Letter,Lil Wayne,2018-10-13
4047,48,Broken,lovelytheband,2018-10-13
4048,49,High Hopes,Panic! At The Disco,2018-10-13
4049,50,Tequila,Dan + Shay,2018-10-13
4050,51,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2018-10-13
4051,52,Beautiful,Bazzi Featuring Camila Cabello,2018-10-13
4052,53,Simple,Florida Georgia Line,2018-10-13
4053,54,New Patek,Lil Uzi Vert,2018-10-13
4054,55,Lucky You,Eminem Featuring Joyner Lucas,2018-10-13
4055,56,"If I'm Lyin, I'm Flyin",Kodak Black,2018-10-13
4056,57,Problems,Lil Wayne,2018-10-13
4057,58,She Got The Best Of Me,Luke Combs,2018-10-13
4058,59,Hittas,Lil Wayne,2018-10-13
4059,60,Blue Tacoma,Russell Dickerson,2018-10-13
4060,61,Ring,Cardi B Featuring Kehlani,2018-10-13
4061,62,Open Safe,Lil Wayne,2018-10-13
4062,63,Drew Barrymore,Bryce Vine,2018-10-13
4063,64,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-10-13
4064,65,Took His Time,Lil Wayne,2018-10-13
4065,66,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-10-13
4066,67,Africa,Weezer,2018-10-13
4067,68,Breathin,Ariana Grande,2018-10-13
4068,69,Hotel Key,Old Dominion,2018-10-13
4069,70,You Say,Lauren Daigle,2018-10-13
4070,71,Lie,NF,2018-10-13
4071,72,Lose It,Kane Brown,2018-10-13
4072,73,Break Up In The End,Cole Swindell,2018-10-13
4073,74,Mess,Lil Wayne,2018-10-13
4074,75,Let It All Work Out,Lil Wayne,2018-10-13
4075,76,Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine,2018-10-13
4076,77,The Way I Am,Charlie Puth,2018-10-13
4077,78,Used 2,Lil Wayne,2018-10-13
4078,79,Rap Devil,Machine Gun Kelly,2018-10-13
4079,80,Drunk Me,Mitchell Tenpenny,2018-10-13
4080,81,Demon,Lil Wayne,2018-10-13
4081,82,Speechless,Dan + Shay,2018-10-13
4082,83,"Sunrise, Sunburn, Sunset",Luke Bryan,2018-10-13
4083,84,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-13
4084,85,Promises,Calvin Harris & Sam Smith,2018-10-13
4085,86,Perfect Strangers,Lil Wayne,2018-10-13
4086,87,Better,Khalid,2018-10-13
4087,88,That's On Me,Yella Beezy,2018-10-13
4088,89,Medicine,Queen Naija,2018-10-13
4089,90,Dope New Gospel,Lil Wayne Featuring Nivea,2018-10-13
4090,91,W O R K I N M E,Quavo,2018-10-13
4091,92,Best Part,Daniel Caesar Featuring H.E.R.,2018-10-13
4092,93,Head Above Water,Avril Lavigne,2018-10-13
4093,94,No Stylist,French Montana Featuring Drake,2018-10-13
4094,95,Best Shot,Jimmie Allen,2018-10-13
4095,96,Hangin' On,Chris Young,2018-10-13
4096,97,Drunk Girl,Chris Janson,2018-10-13
4097,98,Leave Me Alone,Flipp Dinero,2018-10-13
4098,99,Lost In Japan,Shawn Mendes X Zedd,2018-10-13
4099,100,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018-10-13
4100,1,Girls Like You,Maroon 5 Featuring Cardi B,2018-10-20
4101,2,Lucid Dreams,Juice WRLD,2018-10-20
4102,3,Better Now,Post Malone,2018-10-20
4103,4,Drip Too Hard,Lil Baby & Gunna,2018-10-20
4104,5,Shallow,Lady Gaga & Bradley Cooper,2018-10-20
4105,6,Sicko Mode,Travis Scott,2018-10-20
4106,7,Youngblood,5 Seconds Of Summer,2018-10-20
4107,8,Happier,Marshmello & Bastille,2018-10-20
4108,9,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-10-20
4109,10,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-10-20
4110,11,In My Feelings,Drake,2018-10-20
4111,12,Love Lies,Khalid & Normani,2018-10-20
4112,13,Natural,Imagine Dragons,2018-10-20
4113,14,Taste,Tyga Featuring Offset,2018-10-20
4114,15,Never Recover,Lil Baby & Gunna Featuring Drake,2018-10-20
4115,16,Trip,Ella Mai,2018-10-20
4116,17,I Love It,Kanye West & Lil Pump,2018-10-20
4117,18,Without Me,Halsey,2018-10-20
4118,19,Nonstop,Drake,2018-10-20
4119,20,Eastside,"benny blanco, Halsey & Khalid",2018-10-20
4120,21,Back To You,Selena Gomez,2018-10-20
4121,22,God Is A Woman,Ariana Grande,2018-10-20
4122,23,Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-10-20
4123,24,Mo Bamba,Sheck Wes,2018-10-20
4124,25,STOOPID,6ix9ine Featuring Bobby Shmurda,2018-10-20
4125,26,Yes Indeed,Lil Baby & Drake,2018-10-20
4126,27,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-10-20
4127,28,Close Friends,Lil Baby,2018-10-20
4128,29,Uproar,Lil Wayne,2018-10-20
4129,30,Boo'd Up,Ella Mai,2018-10-20
4130,31,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-10-20
4131,32,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-10-20
4132,33,Delicate,Taylor Swift,2018-10-20
4133,34,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-10-20
4134,35,High Hopes,Panic! At The Disco,2018-10-20
4135,36,I'll Never Love Again,Lady Gaga,2018-10-20
4136,37,Sad!,XXXTENTACION,2018-10-20
4137,38,Psycho,Post Malone Featuring Ty Dolla $ign,2018-10-20
4138,39,Broken,lovelytheband,2018-10-20
4139,40,I Like Me Better,Lauv,2018-10-20
4140,41,Always Remember Us This Way,Lady Gaga,2018-10-20
4141,42,I'm A Mess,Bebe Rexha,2018-10-20
4142,43,Venom,Eminem,2018-10-20
4143,44,No Tears Left To Cry,Ariana Grande,2018-10-20
4144,45,The Middle,"Zedd, Maren Morris & Grey",2018-10-20
4145,46,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2018-10-20
4146,47,Beautiful,Bazzi Featuring Camila Cabello,2018-10-20
4147,48,Simple,Florida Georgia Line,2018-10-20
4148,49,Tequila,Dan + Shay,2018-10-20
4149,50,Falling Down,Lil Peep & XXXTENTACION,2018-10-20
4150,51,She Got The Best Of Me,Luke Combs,2018-10-20
4151,52,Ring,Cardi B Featuring Kehlani,2018-10-20
4152,53,Killshot,Eminem,2018-10-20
4153,54,Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV,2018-10-20
4154,55,Breathin,Ariana Grande,2018-10-20
4155,56,Drew Barrymore,Bryce Vine,2018-10-20
4156,57,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-10-20
4157,58,Blue Tacoma,Russell Dickerson,2018-10-20
4158,59,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-10-20
4159,60,Don't Cry,Lil Wayne Featuring XXXTENTACION,2018-10-20
4160,61,Business Is Business,Lil Baby & Gunna,2018-10-20
4161,62,New Patek,Lil Uzi Vert,2018-10-20
4162,63,Is That Alright?,Lady Gaga,2018-10-20
4163,64,Lucky You,Eminem Featuring Joyner Lucas,2018-10-20
4164,65,Lose It,Kane Brown,2018-10-20
4165,66,Break Up In The End,Cole Swindell,2018-10-20
4166,67,Let It Fly,Lil Wayne Featuring Travis Scott,2018-10-20
4167,68,Desperate Man,Eric Church,2018-10-20
4168,69,Speechless,Dan + Shay,2018-10-20
4169,70,Hotel Key,Old Dominion,2018-10-20
4170,71,Lie,NF,2018-10-20
4171,72,Drunk Me,Mitchell Tenpenny,2018-10-20
4172,73,You Say,Lauren Daigle,2018-10-20
4173,74,"If I'm Lyin, I'm Flyin",Kodak Black,2018-10-20
4174,75,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-20
4175,76,Better,Khalid,2018-10-20
4176,77,Africa,Weezer,2018-10-20
4177,78,Dedicate,Lil Wayne,2018-10-20
4178,79,Jumpsuit,twenty one pilots,2018-10-20
4179,80,Belly,Lil Baby & Gunna,2018-10-20
4180,81,My Blood,twenty one pilots,2018-10-20
4181,82,Lost In Japan,Shawn Mendes X Zedd,2018-10-20
4182,83,Promises,Calvin Harris & Sam Smith,2018-10-20
4183,84,The Way I Am,Charlie Puth,2018-10-20
4184,85,No Stylist,French Montana Featuring Drake,2018-10-20
4185,86,Medicine,Queen Naija,2018-10-20
4186,87,Best Shot,Jimmie Allen,2018-10-20
4187,88,W O R K I N M E,Quavo,2018-10-20
4188,89,Hangin' On,Chris Young,2018-10-20
4189,90,That's On Me,Yella Beezy,2018-10-20
4190,91,Can't Be Broken,Lil Wayne,2018-10-20
4191,92,Best Part,Daniel Caesar Featuring H.E.R.,2018-10-20
4192,93,Maybe It's Time,Bradley Cooper,2018-10-20
4193,94,Leave Me Alone,Flipp Dinero,2018-10-20
4194,95,Nico And The Niners,twenty one pilots,2018-10-20
4195,96,Drunk Girl,Chris Janson,2018-10-20
4196,97,Deep End,Lil Baby,2018-10-20
4197,98,I Am,Lil Baby & Gunna,2018-10-20
4198,99,"Sunrise, Sunburn, Sunset",Luke Bryan,2018-10-20
4199,100,Noticed,Lil Mosey,2018-10-20
4200,1,Girls Like You,Maroon 5 Featuring Cardi B,2018-10-27
4201,2,ZEZE,Kodak Black Featuring Travis Scott & Offset,2018-10-27
4202,3,Lucid Dreams,Juice WRLD,2018-10-27
4203,4,Better Now,Post Malone,2018-10-27
4204,5,MIA,Bad Bunny Featuring Drake,2018-10-27
4205,6,Happier,Marshmello & Bastille,2018-10-27
4206,7,Sicko Mode,Travis Scott,2018-10-27
4207,8,Drip Too Hard,Lil Baby & Gunna,2018-10-27
4208,9,Youngblood,5 Seconds Of Summer,2018-10-27
4209,10,Shallow,Lady Gaga & Bradley Cooper,2018-10-27
4210,11,Trip,Ella Mai,2018-10-27
4211,12,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-10-27
4212,13,Natural,Imagine Dragons,2018-10-27
4213,14,Love Lies,Khalid & Normani,2018-10-27
4214,15,In My Feelings,Drake,2018-10-27
4215,16,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-10-27
4216,17,Taste,Tyga Featuring Offset,2018-10-27
4217,18,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-10-27
4218,19,God Is A Woman,Ariana Grande,2018-10-27
4219,20,Nonstop,Drake,2018-10-27
4220,21,Mo Bamba,Sheck Wes,2018-10-27
4221,22,Eastside,"benny blanco, Halsey & Khalid",2018-10-27
4222,23,Without Me,Halsey,2018-10-27
4223,24,Back To You,Selena Gomez,2018-10-27
4224,25,Boo'd Up,Ella Mai,2018-10-27
4225,26,I Love It,Kanye West & Lil Pump,2018-10-27
4226,27,High Hopes,Panic! At The Disco,2018-10-27
4227,28,Yes Indeed,Lil Baby & Drake,2018-10-27
4228,29,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-10-27
4229,30,Close Friends,Lil Baby,2018-10-27
4230,31,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-10-27
4231,32,Beautiful,Bazzi Featuring Camila Cabello,2018-10-27
4232,33,Broken,lovelytheband,2018-10-27
4233,34,Delicate,Taylor Swift,2018-10-27
4234,35,Never Recover,Lil Baby & Gunna Featuring Drake,2018-10-27
4235,36,Uproar,Lil Wayne,2018-10-27
4236,37,I'm A Mess,Bebe Rexha,2018-10-27
4237,38,Psycho,Post Malone Featuring Ty Dolla $ign,2018-10-27
4238,39,I Like Me Better,Lauv,2018-10-27
4239,40,Sad!,XXXTENTACION,2018-10-27
4240,41,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2018-10-27
4241,42,Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-10-27
4242,43,The Middle,"Zedd, Maren Morris & Grey",2018-10-27
4243,44,She Got The Best Of Me,Luke Combs,2018-10-27
4244,45,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-10-27
4245,46,Ring,Cardi B Featuring Kehlani,2018-10-27
4246,47,Tequila,Dan + Shay,2018-10-27
4247,48,Flip The Switch,Quavo Featuring Drake,2018-10-27
4248,49,No Tears Left To Cry,Ariana Grande,2018-10-27
4249,50,Always Remember Us This Way,Lady Gaga,2018-10-27
4250,51,STOOPID,6ix9ine Featuring Bobby Shmurda,2018-10-27
4251,52,Breathin,Ariana Grande,2018-10-27
4252,53,W O R K I N M E,Quavo,2018-10-27
4253,54,I'll Never Love Again,Lady Gaga,2018-10-27
4254,55,Falling Down,Lil Peep & XXXTENTACION,2018-10-27
4255,56,Break Up In The End,Cole Swindell,2018-10-27
4256,57,Venom,Eminem,2018-10-27
4257,58,Lie,NF,2018-10-27
4258,59,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-10-27
4259,60,Simple,Florida Georgia Line,2018-10-27
4260,61,Pass Out,Quavo Featuring 21 Savage,2018-10-27
4261,62,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-10-27
4262,63,Speechless,Dan + Shay,2018-10-27
4263,64,Drew Barrymore,Bryce Vine,2018-10-27
4264,65,Blue Tacoma,Russell Dickerson,2018-10-27
4265,66,Lose It,Kane Brown,2018-10-27
4266,67,No Stylist,French Montana Featuring Drake,2018-10-27
4267,68,Lost In Japan,Shawn Mendes X Zedd,2018-10-27
4268,69,Best Shot,Jimmie Allen,2018-10-27
4269,70,Killshot,Eminem,2018-10-27
4270,71,Better,Khalid,2018-10-27
4271,72,Drunk Me,Mitchell Tenpenny,2018-10-27
4272,73,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-27
4273,74,Lucky You,Eminem Featuring Joyner Lucas,2018-10-27
4274,75,You Say,Lauren Daigle,2018-10-27
4275,76,Leave Me Alone,Flipp Dinero,2018-10-27
4276,77,New Patek,Lil Uzi Vert,2018-10-27
4277,78,Hangin' On,Chris Young,2018-10-27
4278,79,Hotel Key,Old Dominion,2018-10-27
4279,80,Promises,Calvin Harris & Sam Smith,2018-10-27
4280,81,Best Part,Daniel Caesar Featuring H.E.R.,2018-10-27
4281,82,That's On Me,Yella Beezy,2018-10-27
4282,83,Medicine,Queen Naija,2018-10-27
4283,84,Africa,Weezer,2018-10-27
4284,85,Rich,Maren Morris,2018-10-27
4285,86,Biggest Alley Oop,Quavo,2018-10-27
4286,87,Drunk Girl,Chris Janson,2018-10-27
4287,88,Rerun,Quavo Featuring Travis Scott,2018-10-27
4288,89,Desperate Man,Eric Church,2018-10-27
4289,90,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,2018-10-27
4290,91,Don't Cry,Lil Wayne Featuring XXXTENTACION,2018-10-27
4291,92,Noticed,Lil Mosey,2018-10-27
4292,93,Huncho Dreams,Quavo,2018-10-27
4293,94,Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,2018-10-27
4294,95,Thunderclouds,"Labrinth, Sia & Diplo Present... LSD",2018-10-27
4295,96,"Sunrise, Sunburn, Sunset",Luke Bryan,2018-10-27
4296,97,Electricity,Silk City x Dua Lipa,2018-10-27
4297,98,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018-10-27
4298,99,"If I'm Lyin, I'm Flyin",Kodak Black,2018-10-27
4299,100,Lose It,Quavo Featuring Lil Baby,2018-10-27
4300,1,Girls Like You,Maroon 5 Featuring Cardi B,2018-11-03
4301,2,Sicko Mode,Travis Scott,2018-11-03
4302,3,Lucid Dreams,Juice WRLD,2018-11-03
4303,4,Happier,Marshmello & Bastille,2018-11-03
4304,5,Better Now,Post Malone,2018-11-03
4305,6,ZEZE,Kodak Black Featuring Travis Scott & Offset,2018-11-03
4306,7,Youngblood,5 Seconds Of Summer,2018-11-03
4307,8,Drip Too Hard,Lil Baby & Gunna,2018-11-03
4308,9,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018-11-03
4309,10,Love Lies,Khalid & Normani,2018-11-03
4310,11,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-11-03
4311,12,Without Me,Halsey,2018-11-03
4312,13,MIA,Bad Bunny Featuring Drake,2018-11-03
4313,14,Shallow,Lady Gaga & Bradley Cooper,2018-11-03
4314,15,Natural,Imagine Dragons,2018-11-03
4315,16,Mo Bamba,Sheck Wes,2018-11-03
4316,17,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-11-03
4317,18,Trip,Ella Mai,2018-11-03
4318,19,Taste,Tyga Featuring Offset,2018-11-03
4319,20,Eastside,"benny blanco, Halsey & Khalid",2018-11-03
4320,21,High Hopes,Panic! At The Disco,2018-11-03
4321,22,Nonstop,Drake,2018-11-03
4322,23,In My Feelings,Drake,2018-11-03
4323,24,God Is A Woman,Ariana Grande,2018-11-03
4324,25,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-11-03
4325,26,Fine China,Future & Juice WRLD,2018-11-03
4326,27,Yes Indeed,Lil Baby & Drake,2018-11-03
4327,28,Back To You,Selena Gomez,2018-11-03
4328,29,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-11-03
4329,30,Broken,lovelytheband,2018-11-03
4330,31,Beautiful,Bazzi Featuring Camila Cabello,2018-11-03
4331,32,Boo'd Up,Ella Mai,2018-11-03
4332,33,Uproar,Lil Wayne,2018-11-03
4333,34,Better,Khalid,2018-11-03
4334,35,I Love It,Kanye West & Lil Pump,2018-11-03
4335,36,I'm A Mess,Bebe Rexha,2018-11-03
4336,37,She Got The Best Of Me,Luke Combs,2018-11-03
4337,38,Delicate,Taylor Swift,2018-11-03
4338,39,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2018-11-03
4339,40,I Like Me Better,Lauv,2018-11-03
4340,41,Breathin,Ariana Grande,2018-11-03
4341,42,Close Friends,Lil Baby,2018-11-03
4342,43,Sad!,XXXTENTACION,2018-11-03
4343,44,Psycho,Post Malone Featuring Ty Dolla $ign,2018-11-03
4344,45,Ring,Cardi B Featuring Kehlani,2018-11-03
4345,46,Tequila,Dan + Shay,2018-11-03
4346,47,The Middle,"Zedd, Maren Morris & Grey",2018-11-03
4347,48,STOOPID,6ix9ine Featuring Bobby Shmurda,2018-11-03
4348,49,Never Recover,Lil Baby & Gunna Featuring Drake,2018-11-03
4349,50,No Tears Left To Cry,Ariana Grande,2018-11-03
4350,51,Lie,NF,2018-11-03
4351,52,Speechless,Dan + Shay,2018-11-03
4352,53,Leave Me Alone,Flipp Dinero,2018-11-03
4353,54,Money,Cardi B,2018-11-03
4354,55,Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-11-03
4355,56,Lose It,Kane Brown,2018-11-03
4356,57,Always Remember Us This Way,Lady Gaga,2018-11-03
4357,58,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-11-03
4358,59,W O R K I N M E,Quavo,2018-11-03
4359,60,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-11-03
4360,61,Best Shot,Jimmie Allen,2018-11-03
4361,62,Lost In Japan,Shawn Mendes X Zedd,2018-11-03
4362,63,Drunk Me,Mitchell Tenpenny,2018-11-03
4363,64,Drew Barrymore,Bryce Vine,2018-11-03
4364,65,When The Party's Over,Billie Eilish,2018-11-03
4365,66,Falling Down,Lil Peep & XXXTENTACION,2018-11-03
4366,67,I'll Never Love Again,Lady Gaga,2018-11-03
4367,68,No Stylist,French Montana Featuring Drake,2018-11-03
4368,69,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-11-03
4369,70,Blue Tacoma,Russell Dickerson,2018-11-03
4370,71,Hangin' On,Chris Young,2018-11-03
4371,72,Jet Lag,Future & Juice WRLD Featuring Young Scooter,2018-11-03
4372,73,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-11-03
4373,74,Venom,Eminem,2018-11-03
4374,75,You Say,Lauren Daigle,2018-11-03
4375,76,Break Up In The End,Cole Swindell,2018-11-03
4376,77,Promises,Calvin Harris & Sam Smith,2018-11-03
4377,78,Lucky You,Eminem Featuring Joyner Lucas,2018-11-03
4378,79,Killshot,Eminem,2018-11-03
4379,80,Noticed,Lil Mosey,2018-11-03
4380,81,Rich,Maren Morris,2018-11-03
4381,82,Astronauts,Future & Juice WRLD,2018-11-03
4382,83,Saturday Nights,Khalid & Kane Brown,2018-11-03
4383,84,Hotel Key,Old Dominion,2018-11-03
