,track,artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre,duration_ms,release_date,id,artist_id,track_id,popularity,analysis_url,time_signature,track_href,type,uri
21,Faucet Failure,Ski Mask The Slump God,0.111,0.935,0.552,0.0,10,0.0952,-9.373,0,0.335,99.993,0.615,"['miami hip hop', 'rap', 'trap music', 'underground hip hop']",145627,2018-11-30,1ThmUihH9dF8EV08ku5AXN,2rhFzFmezpnW82MNqEKVry,1ThmUihH9dF8EV08ku5AXN,79,https://api.spotify.com/v1/audio-analysis/1ThmUihH9dF8EV08ku5AXN,4,https://api.spotify.com/v1/tracks/1ThmUihH9dF8EV08ku5AXN,audio_features,spotify:track:1ThmUihH9dF8EV08ku5AXN
22,SLOW DANCING IN THE DARK,Joji,0.544,0.515,0.479,0.00598,3,0.191,-7.458,1,0.0261,88.964,0.284,"['alternative r&b', 'viral pop']",209274,2018-10-26,0rKtyWc8bvkriBthvHKY8d,3MZsBdqDrRTJihTHQrO6Dq,0rKtyWc8bvkriBthvHKY8d,80,https://api.spotify.com/v1/audio-analysis/0rKtyWc8bvkriBthvHKY8d,4,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,audio_features,spotify:track:0rKtyWc8bvkriBthvHKY8d
23,ZEZE (feat. Travis Scott & Offset),Kodak Black,0.0521,0.861,0.603,0.0,8,0.0924,-5.788,0,0.176,98.043,0.504,"['florida rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",228760,2018-12-14,0FZ4Dmg8jJJAPJnvBIzD9z,46SHBwWsqBkxI7EeeBEQG7,0FZ4Dmg8jJJAPJnvBIzD9z,81,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,4,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,audio_features,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z
24,Envy Me,Calboy,0.282,0.556,0.481,0.0,11,0.216,-7.663,1,0.313,149.025,0.581,"['chicago rap', 'trap music']",120137,2018-12-13,05t7JMip6JrLuSrMV5yYjX,0HkcYmcjrBR3SCw9Ld5VZk,05t7JMip6JrLuSrMV5yYjX,78,https://api.spotify.com/v1/audio-analysis/05t7JMip6JrLuSrMV5yYjX,4,https://api.spotify.com/v1/tracks/05t7JMip6JrLuSrMV5yYjX,audio_features,spotify:track:05t7JMip6JrLuSrMV5yYjX
25,"Hey Look Ma, I Made It",Panic! At The Disco,0.0137,0.577,0.833,0.0,5,0.121,-3.337,1,0.0695,107.936,0.58,"['baroque pop', 'emo', 'modern rock', 'pop punk']",169667,2018-06-22,22oEJW6r2rMb9z4IntfyEa,20JZFwl6HVl6yg8a4H3ZqK,22oEJW6r2rMb9z4IntfyEa,80,https://api.spotify.com/v1/audio-analysis/22oEJW6r2rMb9z4IntfyEa,4,https://api.spotify.com/v1/tracks/22oEJW6r2rMb9z4IntfyEa,audio_features,spotify:track:22oEJW6r2rMb9z4IntfyEa
26,Act Up,City Girls,0.0167,0.938,0.638,0.0,8,0.111,-4.713,1,0.189,97.075,0.313,"['pop', 'r&b', 'trap queen']",158332,2018-11-16,3A2yGHWIzmGEIolwonU69h,37hAfseJWi0G3Scife12Il,3A2yGHWIzmGEIolwonU69h,78,https://api.spotify.com/v1/audio-analysis/3A2yGHWIzmGEIolwonU69h,4,https://api.spotify.com/v1/tracks/3A2yGHWIzmGEIolwonU69h,audio_features,spotify:track:3A2yGHWIzmGEIolwonU69h
27,Nonstop,Drake,0.0164,0.912,0.412,0.013,7,0.104,-8.074,1,0.124,154.983,0.422,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",238614,2018-06-29,0TlLq3lA83rQOYtrqBqSct,3TVXtAsR1Inumwj472S9r4,0TlLq3lA83rQOYtrqBqSct,81,https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct,4,https://api.spotify.com/v1/tracks/0TlLq3lA83rQOYtrqBqSct,audio_features,spotify:track:0TlLq3lA83rQOYtrqBqSct
28,I Like It,Cardi B,0.099,0.816,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,0.65,"['pop', 'rap']",253390,2018-04-06,58q2HKrzhC3ozto2nDdN4z,4kYSro6naA4h99UJvo89HB,58q2HKrzhC3ozto2nDdN4z,83,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,4,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z
29,Sweet but Psycho,Ava Max,0.0691,0.719,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,0.628,"['dance pop', 'pop', 'post-teen pop']",187436,2018-08-17,25sgk305KZfyuqVBQIahim,4npEfmQ6YuiwW1GpUmaq3F,25sgk305KZfyuqVBQIahim,86,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim
30,All Girls Are The Same,Juice WRLD,0.0769,0.671,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,0.203,"['chicago rap', 'trap music']",165820,2018-12-10,4VXIryQMWpIdGgYR4TrjT1,4MCBfE4596Uoi2O4DtmEMz,4VXIryQMWpIdGgYR4TrjT1,79,https://api.spotify.com/v1/audio-analysis/4VXIryQMWpIdGgYR4TrjT1,4,https://api.spotify.com/v1/tracks/4VXIryQMWpIdGgYR4TrjT1,audio_features,spotify:track:4VXIryQMWpIdGgYR4TrjT1
31,Yes Indeed,Lil Baby,0.035,0.964,0.346,0.0,5,0.108,-9.309,0,0.53,119.958,0.562,"['atl hip hop', 'atl trap', 'rap', 'trap music']",142273,2018-05-18,6vN77lE9LK6HP2DewaN6HZ,5f7VJjfbwm532GiveGC0ZK,6vN77lE9LK6HP2DewaN6HZ,78,https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ,4,https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ,audio_features,spotify:track:6vN77lE9LK6HP2DewaN6HZ
32,Psycho (feat. Ty Dolla $ign),Post Malone,0.58,0.739,0.559,0.0,8,0.112,-8.011,1,0.117,140.124,0.439,"['dfw rap', 'pop', 'rap']",221440,2018-04-27,3swc6WTsr7rl9DqQKQA55C,246dkjvS1zLTtiykXe5h60,3swc6WTsr7rl9DqQKQA55C,82,https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C,4,https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C,audio_features,spotify:track:3swc6WTsr7rl9DqQKQA55C
33,Mo Bamba,Sheck Wes,0.194,0.729,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,0.261,"['rap', 'trap music', 'underground hip hop', 'vapor trap']",183907,2018-10-05,1xzBco0xcoJEDXktl7Jxrr,2RDOrhPqAM4jzTRCEb19qX,1xzBco0xcoJEDXktl7Jxrr,80,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,4,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,audio_features,spotify:track:1xzBco0xcoJEDXktl7Jxrr
34,Leave Me Alone,Flipp Dinero,0.107,0.792,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,0.742,"['rap', 'trap music', 'underground hip hop', 'vapor trap']",195637,2018-09-04,14mHfNsSHN0FbLftyjrV9g,2HUwZ0kumzCSlhFcjFZfpp,14mHfNsSHN0FbLftyjrV9g,79,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,4,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,audio_features,spotify:track:14mHfNsSHN0FbLftyjrV9g
35,Eastside (with Halsey & Khalid),benny blanco,0.555,0.56,0.68,0.0,6,0.116,-7.648,0,0.321,89.391,0.319,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house']",173800,2018-07-12,0d2iYfpKoM0QCKvcLCkBao,5CiGnKThu5ctn9pBxv7DGa,0d2iYfpKoM0QCKvcLCkBao,83,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,4,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,audio_features,spotify:track:0d2iYfpKoM0QCKvcLCkBao
36,Armed And Dangerous,Juice WRLD,0.186,0.736,0.67,0.0,10,0.114,-6.702,1,0.311,130.032,0.845,"['chicago rap', 'trap music']",169999,2018-12-10,5wujBwqG7INdStqGd4tRMX,4MCBfE4596Uoi2O4DtmEMz,5wujBwqG7INdStqGd4tRMX,78,https://api.spotify.com/v1/audio-analysis/5wujBwqG7INdStqGd4tRMX,4,https://api.spotify.com/v1/tracks/5wujBwqG7INdStqGd4tRMX,audio_features,spotify:track:5wujBwqG7INdStqGd4tRMX
37,God's Plan,Drake,0.0332,0.754,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,0.357,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",198973,2018-06-29,6DCZcSspjsKoFjzjrWoCdn,3TVXtAsR1Inumwj472S9r4,6DCZcSspjsKoFjzjrWoCdn,82,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,4,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn
38,The Middle,Zedd,0.171,0.753,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,0.437,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']",184732,2018-01-23,09IStsImFySgyp0pIQdqAc,2qxJFvFYMEDqd7ui6kSAcq,09IStsImFySgyp0pIQdqAc,82,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,4,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,audio_features,spotify:track:09IStsImFySgyp0pIQdqAc
39,Taste (feat. Offset),Tyga,0.0236,0.884,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,0.342,"['pop', 'pop rap', 'rap', 'trap music']",232959,2018-05-16,5IaHrVsrferBYDm0bDyABy,5LHRHt1k9lMyONurDHEdrp,5IaHrVsrferBYDm0bDyABy,81,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,4,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,audio_features,spotify:track:5IaHrVsrferBYDm0bDyABy
40,Shallow,Lady Gaga,0.371,0.572,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,0.323,"['dance pop', 'pop']",215733,2018-10-05,2VxeLyX666F8uXCJ0dZF8B,1HY2Jd0NmPuamShAr6KMms,2VxeLyX666F8uXCJ0dZF8B,87,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B
41,Bitchuary,Shordie Shordie,0.349,0.762,0.383,0.0,5,0.127,-10.098,0,0.202,92.947,0.44,"['baltimore hip hop', 'cali rap']",134213,2018-12-08,4dV3okcjbQwTcg4ObIGr4N,5fyvTyetDr7gvLafBsEEhU,4dV3okcjbQwTcg4ObIGr4N,75,https://api.spotify.com/v1/audio-analysis/4dV3okcjbQwTcg4ObIGr4N,4,https://api.spotify.com/v1/tracks/4dV3okcjbQwTcg4ObIGr4N,audio_features,spotify:track:4dV3okcjbQwTcg4ObIGr4N
42,Money,Cardi B,0.00534,0.95,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,0.219,"['pop', 'rap']",183527,2018-10-23,2GGMabyHXnJmjY6CXhhB2e,4kYSro6naA4h99UJvo89HB,2GGMabyHXnJmjY6CXhhB2e,78,https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,4,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,audio_features,spotify:track:2GGMabyHXnJmjY6CXhhB2e
43,changes,XXXTENTACION,0.883,0.669,0.308,0.0,11,0.0984,-10.068,1,0.029,64.934,0.52,"['emo rap', 'miami hip hop']",121887,2018-03-16,7AFASza1mXqntmGtbxXprO,15UsOTVnJzReFVN1VCnxy4,7AFASza1mXqntmGtbxXprO,81,https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO,4,https://api.spotify.com/v1/tracks/7AFASza1mXqntmGtbxXprO,audio_features,spotify:track:7AFASza1mXqntmGtbxXprO
44,Youngblood,5 Seconds of Summer,0.0169,0.596,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,0.152,"['boy band', 'dance pop', 'pop', 'post-teen pop']",203418,2018-06-15,2iUXsYOEPhVqEBwsqP70rE,5Rl15oVamLq7FbSb0NNBNy,2iUXsYOEPhVqEBwsqP70rE,81,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,4,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,audio_features,spotify:track:2iUXsYOEPhVqEBwsqP70rE
45,MIA (feat. Drake),Bad Bunny,0.0141,0.817,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,0.158,"['reggaeton', 'trap latino']",210368,2018-10-11,116H0KvKr2Zl4RPuVBruDO,4q3ewBCX7sLwd24euuV69X,116H0KvKr2Zl4RPuVBruDO,83,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO
46,3 Nights,Dominic Fike,0.223,0.815,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,0.877,['alternative pop rock'],177667,2018-10-16,1tNJrcVe6gwLEiZCtprs1u,6USv9qhCn6zfxlBQIYJ9qs,1tNJrcVe6gwLEiZCtprs1u,85,https://api.spotify.com/v1/audio-analysis/1tNJrcVe6gwLEiZCtprs1u,4,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u,audio_features,spotify:track:1tNJrcVe6gwLEiZCtprs1u
47,Nice For What,Drake,0.0891,0.586,0.909,0.000109,8,0.119,-6.474,1,0.0705,93.394,0.757,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",210747,2018-06-29,3CA9pLiwRIGtUBiMjbZmRw,3TVXtAsR1Inumwj472S9r4,3CA9pLiwRIGtUBiMjbZmRw,79,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,4,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw
48,Thotiana,Blueface,0.18,0.906,0.382,0.0,10,0.113,-12.89,0,0.269,104.025,0.391,['cali rap'],129264,2018-12-18,3oh6SCCeLuXhFpEyepla6G,3Fl1V19tmjt57oBdxXKAjJ,3oh6SCCeLuXhFpEyepla6G,78,https://api.spotify.com/v1/audio-analysis/3oh6SCCeLuXhFpEyepla6G,4,https://api.spotify.com/v1/tracks/3oh6SCCeLuXhFpEyepla6G,audio_features,spotify:track:3oh6SCCeLuXhFpEyepla6G
49,Slime Belief,YoungBoy Never Broke Again,0.257,0.748,0.578,0.0,9,0.13,-5.72,1,0.194,140.016,0.166,['trap music'],192606,2018-12-20,2qGfZAgDe1pV2y5xJAhi6R,7wlFDEWiM5OoIAt8RSli8b,2qGfZAgDe1pV2y5xJAhi6R,75,https://api.spotify.com/v1/audio-analysis/2qGfZAgDe1pV2y5xJAhi6R,4,https://api.spotify.com/v1/tracks/2qGfZAgDe1pV2y5xJAhi6R,audio_features,spotify:track:2qGfZAgDe1pV2y5xJAhi6R
