index,success,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date,popularity,artist,track,country,indie,other,minutes,rap/hip-hop,rock,edm,jazz,pop
cupcakKe: Post Pic,0,22.1,78.9,88.3,0.000133,10,7.53,-3.9730000000000003,0,34.6,130.231,69.1,2018-01-05,24,cupcakKe,Post Pic,0,0,0,3.4856,1,0,0,0,0
cupcakKe: Meet and Greet,0,76.3,75.4,68.9,0.0,1,8.66,-3.825,1,34.9,146.03,28.199999999999996,2018-01-05,21,cupcakKe,Meet and Greet,0,0,0,2.9668,1,0,0,0,0
cupcakKe: Single While Taken,0,7.02,72.3,59.0,0.0,5,28.7,-9.546,1,23.9,112.094,60.3,2018-01-05,21,cupcakKe,Single While Taken,0,0,0,2.8224,1,0,0,0,0
cupcakKe: Fullest,0,28.1,83.3,91.7,0.0,2,14.800000000000002,-2.112,1,19.8,129.93200000000002,56.00000000000001,2018-01-05,31,cupcakKe,Fullest,0,0,0,3.6472,1,0,0,0,0
Avatar: Glory To Our King,0,83.9,26.5,41.2,0.0,9,26.3,-8.896,1,4.47,115.46600000000001,65.0,2018-01-12,20,Avatar,Glory To Our King,0,0,0,0.86095,0,1,0,0,0
Avatar: Legend of the King,0,0.05059999999999999,47.8,96.8,5.58,9,31.3,-6.482,0,7.5200000000000005,128.032,11.2,2018-01-12,29,Avatar,Legend of the King,0,0,0,8.296616666666667,0,1,0,0,0
Avatar: The King Welcomes You To Avatar Country,0,0.0286,49.1,80.9,2.82,4,9.55,-6.046,1,3.49,92.069,35.3,2018-01-12,35,Avatar,The King Welcomes You To Avatar Country,0,0,0,5.607766666666667,0,1,0,0,0
Avatar: King's Harvest,0,0.0466,40.6,94.9,28.4,1,23.8,-5.407,1,4.79,126.818,45.5,2018-01-12,28,Avatar,King's Harvest,0,0,0,3.9202833333333333,0,1,0,0,0
Avatar: The King Wants You,0,3.6700000000000004,61.6,83.8,0.5760000000000001,9,9.27,-5.412999999999999,0,7.9399999999999995,116.05,59.599999999999994,2018-01-12,32,Avatar,The King Wants You,0,0,0,4.343166666666667,0,1,0,0,0
Avatar: The King Speaks,0,78.0,34.7,75.1,13.699999999999998,7,95.3,-14.011,1,43.0,136.84,27.699999999999996,2018-01-12,18,Avatar,The King Speaks,0,0,0,3.2942,0,1,0,0,0
Avatar: A Statue of the King,0,0.744,44.1,97.5,1.5599999999999998,1,14.3,-6.1,1,4.79,177.067,35.0,2018-01-12,38,Avatar,A Statue of the King,0,0,0,3.74315,0,1,0,0,0
Avatar: King After King,0,7.68,56.2,85.9,1.54,8,11.4,-6.632000000000001,0,4.8500000000000005,137.982,42.5,2018-01-12,27,Avatar,King After King,0,0,0,5.1323,0,1,0,0,0
Avatar: Silent Songs of the King Pt. 1: Winter Comes When the King Dreams of Snow,0,84.6,48.6,26.5,87.6,4,10.9,-24.723000000000003,0,3.0300000000000002,91.009,9.47,2018-01-12,20,Avatar,Silent Songs of the King Pt. 1: Winter Comes When the King Dreams of Snow,0,0,0,3.56675,0,1,0,0,0
Avatar: Silent Songs of the King Pt. 2: The King's Palace,0,0.025799999999999997,48.8,80.4,87.3,9,21.2,-7.431,1,3.74,97.025,14.099999999999998,2018-01-12,21,Avatar,Silent Songs of the King Pt. 2: The King's Palace,0,0,0,4.618816666666667,0,1,0,0,0
Black Rebel Motorcycle Club: DFF,0,70.6,35.5,51.9,86.5,0,17.7,-17.128,1,3.06,85.353,5.86,2018-01-12,20,Black Rebel Motorcycle Club,DFF,0,1,0,1.90365,0,1,0,0,1
Black Rebel Motorcycle Club: Spook,0,1.28,55.50000000000001,80.3,0.49700000000000005,4,11.1,-4.852,1,3.5000000000000004,118.056,53.6,2018-01-12,33,Black Rebel Motorcycle Club,Spook,0,1,0,3.756883333333333,0,1,0,0,1
Black Rebel Motorcycle Club: King of Bones,0,0.44600000000000006,48.6,87.5,8.64,11,8.99,-5.695,0,4.55,120.045,32.1,2018-01-12,25,Black Rebel Motorcycle Club,King of Bones,0,1,0,3.9454166666666666,0,1,0,0,1
Black Rebel Motorcycle Club: Haunt,0,25.6,47.4,46.7,51.7,9,13.699999999999998,-11.689,0,2.7199999999999998,76.021,25.7,2018-01-12,24,Black Rebel Motorcycle Club,Haunt,0,1,0,5.845983333333334,0,1,0,0,1
Black Rebel Motorcycle Club: Echo,0,0.698,29.100000000000005,72.4,0.0246,2,12.1,-6.282,1,3.01,92.223,32.3,2018-01-12,27,Black Rebel Motorcycle Club,Echo,0,1,0,5.227016666666667,0,1,0,0,1
Black Rebel Motorcycle Club: Ninth Configuration,0,1.8399999999999999,45.2,82.6,5.83,4,9.0,-6.952999999999999,1,5.52,129.033,30.599999999999998,2018-01-12,20,Black Rebel Motorcycle Club,Ninth Configuration,0,1,0,6.879483333333333,0,1,0,0,1
Black Rebel Motorcycle Club: Question of Faith,0,18.8,45.9,64.6,78.0,4,14.899999999999999,-7.3229999999999995,1,2.68,100.131,41.4,2018-01-12,24,Black Rebel Motorcycle Club,Question of Faith,0,1,0,5.330383333333334,0,1,0,0,1
Black Rebel Motorcycle Club: Calling Them All Away,0,52.400000000000006,34.6,56.89999999999999,77.6,2,16.7,-7.704,1,3.1399999999999997,95.948,16.7,2018-01-12,17,Black Rebel Motorcycle Club,Calling Them All Away,0,1,0,6.765266666666666,0,1,0,0,1
Black Rebel Motorcycle Club: Little Thing Gone Wild,0,0.018600000000000002,53.900000000000006,84.4,53.900000000000006,1,23.8,-5.604,1,4.07,119.98700000000001,46.6,2018-01-12,30,Black Rebel Motorcycle Club,Little Thing Gone Wild,0,1,0,3.33,0,1,0,0,1
Black Rebel Motorcycle Club: Carried From The Start,0,2.31,43.0,65.4,5.74,5,8.780000000000001,-7.452000000000001,1,2.88,86.064,40.5,2018-01-12,19,Black Rebel Motorcycle Club,Carried From The Start,0,1,0,4.8322666666666665,0,1,0,0,1
Black Rebel Motorcycle Club: All Rise,0,7.12,21.6,51.9,4.24,5,9.610000000000001,-8.37,1,3.2399999999999998,153.81799999999998,21.3,2018-01-12,16,Black Rebel Motorcycle Club,All Rise,0,1,0,5.671683333333333,0,1,0,0,1
Black Veil Brides: Incipiens Ad Finem,0,81.8,54.50000000000001,20.6,0.000491,0,47.4,-18.605,1,9.66,53.376999999999995,68.1,2018-01-12,1,Black Veil Brides,Incipiens Ad Finem,0,0,0,0.35045,0,1,0,0,1
Black Veil Brides: The Last One,0,0.924,55.7,89.7,0.0233,6,17.2,-4.031000000000001,0,8.38,129.904,35.7,2018-01-12,49,Black Veil Brides,The Last One,0,0,0,4.695116666666666,0,1,0,0,1
Black Veil Brides: Wake Up,0,0.4010000000000001,55.8,94.6,0.00034,0,39.5,-3.569,0,12.2,126.93299999999999,57.60000000000001,2018-01-12,54,Black Veil Brides,Wake Up,0,0,0,2.70155,0,1,0,0,1
Black Veil Brides: When They Call My Name,0,2.9,25.7,89.0,0.0012000000000000001,9,5.81,-5.5520000000000005,0,7.91,159.275,28.499999999999996,2018-01-12,44,Black Veil Brides,When They Call My Name,0,0,0,3.7602166666666665,0,1,0,0,1
Black Veil Brides: The Outsider,0,0.27499999999999997,53.5,90.3,0.0,8,15.6,-3.4130000000000003,1,4.4799999999999995,93.01700000000001,47.8,2018-01-12,45,Black Veil Brides,The Outsider,0,0,0,3.7733333333333334,0,1,0,0,1
Black Veil Brides: Dead Man Walking (Overture II),0,1.16,48.1,88.3,0.11800000000000001,0,34.1,-5.31,0,6.8500000000000005,136.036,12.5,2018-01-12,38,Black Veil Brides,Dead Man Walking (Overture II),0,0,0,8.533783333333334,0,1,0,0,1
Black Veil Brides: Our Destiny,0,1.26,49.9,89.7,0.0,0,20.1,-3.515,1,7.42,88.008,46.2,2018-01-12,40,Black Veil Brides,Our Destiny,0,0,0,3.4097833333333334,0,1,0,0,1
Black Veil Brides: The King Of Pain,0,0.0861,30.9,92.6,0.00261,9,2.76,-3.77,0,10.0,120.92399999999999,18.1,2018-01-12,37,Black Veil Brides,The King Of Pain,0,0,0,4.50645,0,1,0,0,1
Black Veil Brides: My Vow,0,0.0135,43.4,97.4,0.42899999999999994,10,21.6,-3.555,0,14.7,92.59899999999999,44.3,2018-01-12,41,Black Veil Brides,My Vow,0,0,0,2.808883333333333,0,1,0,0,1
Black Veil Brides: Ballad Of The Lonely Hearts,0,0.157,35.7,94.5,0.000119,9,21.7,-3.9219999999999997,0,12.1,172.987,35.3,2018-01-12,37,Black Veil Brides,Ballad Of The Lonely Hearts,0,0,0,3.8537833333333333,0,1,0,0,1
Black Veil Brides: Vale (This Is Where It Ends),0,4.29,36.9,78.8,0.058699999999999995,4,36.2,-4.898,0,3.93,147.92700000000002,32.7,2018-01-12,38,Black Veil Brides,Vale (This Is Where It Ends),0,0,0,4.17245,0,1,0,0,1
BØRNS: God Save Our Young Blood (with Lana Del Rey),0,74.0,62.3,55.00000000000001,0.000132,9,13.0,-7.593999999999999,1,5.27,130.97299999999998,39.6,2018-01-12,52,BØRNS,God Save Our Young Blood (with Lana Del Rey),0,1,0,3.8766333333333334,0,1,0,0,1
BØRNS: Faded Heart,0,1.82,50.6,92.1,1.51,11,34.5,-4.98,1,4.44,139.952,38.7,2018-01-12,46,BØRNS,Faded Heart,0,1,0,3.5719833333333333,0,1,0,0,1
BØRNS: Sweet Dreams,0,4.2700000000000005,62.3,53.400000000000006,0.00824,11,11.9,-6.678,1,3.15,91.99700000000001,38.7,2018-01-12,49,BØRNS,Sweet Dreams,0,1,0,3.32945,0,1,0,0,1
BØRNS: We Don't Care,0,39.4,64.5,70.7,0.0068,11,33.0,-6.38,0,4.95,100.03200000000001,68.5,2018-01-12,40,BØRNS,We Don't Care,0,1,0,3.54575,0,1,0,0,1
BØRNS: Man,0,9.34,63.5,91.9,0.026000000000000002,7,37.0,-6.487,1,3.5700000000000003,118.02799999999999,36.2,2018-01-12,38,BØRNS,Man,0,1,0,3.9457666666666666,0,1,0,0,1
BØRNS: Iceberg,0,31.0,52.0,59.699999999999996,0.652,3,9.58,-7.406000000000001,1,6.5600000000000005,152.014,69.8,2018-01-12,38,BØRNS,Iceberg,0,1,0,3.5031,0,1,0,0,1
BØRNS: Second Night Of Summer,0,18.9,63.800000000000004,49.9,0.2,0,9.46,-7.4,1,4.15,154.001,54.50000000000001,2018-01-12,42,BØRNS,Second Night Of Summer,0,1,0,3.4043833333333335,0,1,0,0,1
BØRNS: I Don't Want U Back,0,13.3,62.0,65.2,11.0,8,4.62,-5.404,1,4.38,86.00299999999999,54.0,2018-01-12,43,BØRNS,I Don't Want U Back,0,1,0,3.84905,0,1,0,0,1
BØRNS: Tension (Interlude),0,51.5,82.5,50.0,31.5,7,10.6,-11.072000000000001,1,8.89,101.992,65.9,2018-01-12,39,BØRNS,Tension (Interlude),0,1,0,1.5686833333333334,0,1,0,0,1
BØRNS: Supernatural,0,8.94,59.0,86.5,41.2,0,22.7,-6.18,1,4.35,146.99200000000002,39.4,2018-01-12,37,BØRNS,Supernatural,0,1,0,3.7450666666666668,0,1,0,0,1
BØRNS: Blue Madonna,0,55.50000000000001,76.7,37.6,0.7909999999999998,0,10.8,-10.485,1,3.8600000000000003,123.954,61.5,2018-01-12,41,BØRNS,Blue Madonna,0,1,0,2.3267333333333333,0,1,0,0,1
BØRNS: Bye-bye Darling,0,81.9,38.4,49.5,46.1,2,67.6,-6.497999999999999,1,3.01,73.944,14.899999999999999,2018-01-12,41,BØRNS,Bye-bye Darling,0,1,0,4.98375,0,1,0,0,1
Camila Cabello: Never Be the Same,1,18.1,63.7,71.3,0.06369999999999999,0,13.699999999999998,-4.333,1,7.470000000000001,129.923,24.3,2018-01-12,74,Camila Cabello,Never Be the Same,0,0,0,3.7828833333333334,0,0,0,0,1
Camila Cabello: All These Years,0,60.9,73.2,43.6,0.0,1,10.8,-7.409,0,11.7,94.852,47.5,2018-01-12,68,Camila Cabello,All These Years,0,0,0,2.73955,0,0,0,0,1
Camila Cabello: She Loves Control,0,16.6,65.0,75.8,0.0,2,8.89,-4.02,1,11.6,94.9,66.3,2018-01-12,68,Camila Cabello,She Loves Control,0,0,0,2.9526666666666666,0,0,0,0,1
Camila Cabello: Havana (feat. Young Thug),1,18.4,76.5,52.300000000000004,0.0035600000000000007,2,13.200000000000001,-4.333,1,3.0,104.988,39.4,2018-01-12,82,Camila Cabello,Havana (feat. Young Thug),0,0,0,3.621783333333333,0,0,0,0,1
Camila Cabello: Inside Out,0,43.0,73.7,69.7,0.0382,8,8.21,-5.31,1,8.95,94.101,65.5,2018-01-12,57,Camila Cabello,Inside Out,0,0,0,3.042666666666667,0,0,0,0,1
Camila Cabello: Consequences,1,88.9,45.5,29.2,0.0,0,10.6,-6.792000000000001,1,5.63,84.339,43.0,2018-01-12,69,Camila Cabello,Consequences,0,0,0,2.97445,0,0,0,0,1
Camila Cabello: Real Friends,0,83.9,72.6,30.4,0.0,3,8.53,-8.677,1,13.100000000000001,91.97,81.3,2018-01-12,63,Camila Cabello,Real Friends,0,0,0,3.5731166666666665,0,0,0,0,1
Camila Cabello: Something's Gotta Give,0,36.7,54.50000000000001,45.8,0.0,5,11.8,-4.6,0,2.79,79.943,16.4,2018-01-12,67,Camila Cabello,Something's Gotta Give,0,0,0,3.9393333333333334,0,0,0,0,1
Camila Cabello: In the Dark,0,21.0,42.5,54.79999999999999,0.0,7,11.5,-6.7620000000000005,1,11.4,175.75599999999997,28.199999999999996,2018-01-12,60,Camila Cabello,In the Dark,0,0,0,3.6637833333333334,0,0,0,0,1
Camila Cabello: Into It,0,45.1,56.89999999999999,64.9,0.0,11,12.8,-8.175,1,48.2,108.77,44.1,2018-01-12,60,Camila Cabello,Into It,0,0,0,2.92755,0,0,0,0,1
Camila Cabello: Never Be the Same - Radio Edit,1,15.8,62.7,69.3,0.0102,0,11.5,-4.382,1,8.559999999999999,129.80100000000002,24.5,2018-01-12,54,Camila Cabello,Never Be the Same - Radio Edit,0,0,0,3.787333333333333,0,0,0,0,1
Corrosion Of Conformity: Novus Deus,0,0.0557,20.5,30.4,92.3,0,53.1,-17.967,0,3.9800000000000004,85.20299999999999,47.9,2018-01-12,20,Corrosion Of Conformity,Novus Deus,0,0,0,1.4757833333333332,1,1,0,0,0
Corrosion Of Conformity: The Luddite,0,1.9300000000000002,27.1,98.5,1.34,5,28.300000000000004,-7.22,0,12.3,124.535,7.1499999999999995,2018-01-12,23,Corrosion Of Conformity,The Luddite,0,0,0,4.654,1,1,0,0,0
Corrosion Of Conformity: Cast the First Stone,0,0.00565,23.3,98.2,38.3,5,18.0,-7.186,0,14.3,180.733,22.5,2018-01-12,23,Corrosion Of Conformity,Cast the First Stone,0,0,0,3.7208833333333335,1,1,0,0,0
Corrosion Of Conformity: Wolf Named Crow,0,0.00749,32.8,90.3,57.70000000000001,7,26.200000000000003,-6.474,1,7.140000000000001,104.175,44.8,2018-01-12,23,Corrosion Of Conformity,Wolf Named Crow,0,0,0,5.20645,1,1,0,0,0
Corrosion Of Conformity: Little Man,0,0.030899999999999997,30.2,88.7,0.126,0,37.5,-6.886,1,5.87,130.096,75.4,2018-01-12,21,Corrosion Of Conformity,Little Man,0,0,0,4.522,1,1,0,0,0
Corrosion Of Conformity: Matre's Diem,0,87.8,48.3,8.309999999999999,96.9,7,13.600000000000001,-23.73,1,4.9,73.80199999999999,28.6,2018-01-12,16,Corrosion Of Conformity,Matre's Diem,0,0,0,1.4426666666666668,1,1,0,0,0
Corrosion Of Conformity: Forgive Me,0,0.041100000000000005,25.7,94.7,59.599999999999994,2,33.5,-7.541,1,9.04,130.279,40.3,2018-01-12,19,Corrosion Of Conformity,Forgive Me,0,0,0,4.1128833333333334,1,1,0,0,0
Corrosion Of Conformity: Nothing Left to Say,0,1.72,30.4,70.7,31.0,10,22.4,-9.843,1,5.94,111.055,36.3,2018-01-12,17,Corrosion Of Conformity,Nothing Left to Say,0,0,0,6.366883333333333,1,1,0,0,0
Corrosion Of Conformity: Sacred Isolation,0,88.9,25.6,31.4,85.8,1,32.8,-19.622,1,4.109999999999999,81.425,15.6,2018-01-12,15,Corrosion Of Conformity,Sacred Isolation,0,0,0,1.372,1,1,0,0,0
Corrosion Of Conformity: Old Disaster,0,0.629,17.5,93.8,0.11300000000000002,5,21.7,-4.605,1,7.39,169.047,37.3,2018-01-12,16,Corrosion Of Conformity,Old Disaster,0,0,0,4.738666666666667,1,1,0,0,0
Corrosion Of Conformity: E.L.M.,0,0.0101,27.0,96.6,0.109,5,36.2,-5.7620000000000005,0,9.370000000000001,125.854,32.2,2018-01-12,15,Corrosion Of Conformity,E.L.M.,0,0,0,4.03645,1,1,0,0,0
Corrosion Of Conformity: No Cross No Crown,0,91.2,35.4,21.6,55.89999999999999,2,15.1,-21.521,0,4.02,112.105,19.1,2018-01-12,14,Corrosion Of Conformity,No Cross No Crown,0,0,0,3.92245,1,1,0,0,0
Corrosion Of Conformity: A Quest to Believe (A Call to the Void),0,0.07050000000000001,22.5,90.2,0.325,10,26.3,-7.472,0,6.6000000000000005,118.01799999999999,34.7,2018-01-12,15,Corrosion Of Conformity,A Quest to Believe (A Call to the Void),0,0,0,6.030216666666667,1,1,0,0,0
Corrosion Of Conformity: Son and Daughter,0,0.9040000000000001,23.8,87.6,64.6,2,13.200000000000001,-7.236000000000001,1,7.66,147.042,42.4,2018-01-12,14,Corrosion Of Conformity,Son and Daughter,0,0,0,4.88355,1,1,0,0,0
Meghan Patrick: Country Music Made Me Do It,0,23.7,47.0,79.7,0.0,2,7.870000000000001,-4.342,1,4.21,156.05200000000002,43.3,2018-01-12,35,Meghan Patrick,Country Music Made Me Do It,1,0,0,3.3477833333333336,0,0,0,0,1
Meghan Patrick: George Strait,0,68.8,52.0,56.60000000000001,0.0,11,11.3,-7.675,1,3.1,169.921,57.10000000000001,2018-01-12,22,Meghan Patrick,George Strait,1,0,0,3.0653333333333332,0,0,0,0,1
Meghan Patrick: Walls Come Down,0,0.84,38.4,91.2,0.000256,8,12.7,-5.461,0,8.12,176.03400000000002,66.4,2018-01-12,36,Meghan Patrick,Walls Come Down,1,0,0,3.4273333333333333,0,0,0,0,1
Meghan Patrick: The Bad Guy,0,35.5,57.60000000000001,67.5,0.0,6,9.24,-6.505,1,3.71,149.965,47.3,2018-01-12,37,Meghan Patrick,The Bad Guy,1,0,0,3.75445,0,0,0,0,1
Meghan Patrick: Small Town,0,14.6,67.1,76.2,0.0,4,10.8,-6.699,1,5.91,120.01100000000001,38.4,2018-01-12,20,Meghan Patrick,Small Town,1,0,0,3.5002166666666668,0,0,0,0,1
Meghan Patrick: The Buzz,0,7.31,53.400000000000006,90.1,0.0020399999999999997,9,18.8,-5.074,1,6.859999999999999,150.017,56.10000000000001,2018-01-12,18,Meghan Patrick,The Buzz,1,0,0,3.02555,0,0,0,0,1
Meghan Patrick: Feel Me Gone,0,3.39,47.6,49.3,0.000556,7,10.8,-6.159,1,2.7199999999999998,134.023,15.299999999999999,2018-01-12,21,Meghan Patrick,Feel Me Gone,1,0,0,3.0777833333333335,0,0,0,0,1
Meghan Patrick: Hardest on My Heart,0,12.5,50.6,83.6,0.0,11,37.7,-4.961,1,4.67,158.072,48.7,2018-01-12,19,Meghan Patrick,Hardest on My Heart,1,0,0,2.957333333333333,0,0,0,0,1
Meghan Patrick: We Got It All,0,11.3,67.5,79.7,0.0102,11,12.7,-6.971,0,3.51,110.044,54.79999999999999,2018-01-12,18,Meghan Patrick,We Got It All,1,0,0,3.1851166666666666,0,0,0,0,1
Meghan Patrick: The Way You Apologize,0,14.000000000000002,54.89999999999999,79.6,0.000287,4,11.7,-5.94,1,3.9899999999999998,146.075,58.599999999999994,2018-01-12,19,Meghan Patrick,The Way You Apologize,1,0,0,3.65445,0,0,0,0,1
Meghan Patrick: Underrated,0,19.6,67.4,73.8,0.0,9,25.8,-5.526,1,2.64,110.97200000000001,64.7,2018-01-12,18,Meghan Patrick,Underrated,1,0,0,3.056216666666667,0,0,0,0,1
Tonight Alive: Book Of Love,0,0.116,58.4,90.3,0.0,4,20.4,-2.995,0,3.8600000000000003,126.041,39.6,2018-01-12,40,Tonight Alive,Book Of Love,0,0,0,3.1488833333333335,0,0,0,0,1
Tonight Alive: Temple,0,0.09079999999999999,55.2,93.0,0.0,5,6.819999999999999,-2.745,0,4.0,125.899,44.9,2018-01-12,36,Tonight Alive,Temple,0,0,0,3.4897833333333335,0,0,0,0,1
Tonight Alive: Disappear (Feat. Lynn Gunn),0,0.0714,56.00000000000001,87.1,0.00041,11,13.4,-5.2829999999999995,0,4.07,125.022,67.7,2018-01-12,42,Tonight Alive,Disappear (Feat. Lynn Gunn),0,0,0,3.703116666666667,0,0,0,0,1
Tonight Alive: The Other,0,0.0858,42.3,95.5,0.000438,2,8.7,-3.5380000000000003,1,5.42,178.08,51.7,2018-01-12,29,Tonight Alive,The Other,0,0,0,3.882,0,0,0,0,1
Tonight Alive: In My Dreams,0,1.15,59.8,92.4,0.0,11,21.2,-4.735,0,4.31,116.012,56.60000000000001,2018-01-12,35,Tonight Alive,In My Dreams,0,0,0,4.123783333333333,0,0,0,0,1
Tonight Alive: For You,0,3.15,50.6,77.6,0.0,2,11.7,-5.417999999999999,1,2.87,162.015,56.99999999999999,2018-01-12,35,Tonight Alive,For You,0,0,0,3.37845,0,0,0,0,1
Tonight Alive: Crack My Heart,0,0.07379999999999999,48.8,94.5,0.000102,7,10.0,-4.396,1,8.23,145.089,27.699999999999996,2018-01-12,31,Tonight Alive,Crack My Heart,0,0,0,3.529333333333333,0,0,0,0,1
Tonight Alive: Just For Now,0,0.8420000000000001,47.6,92.7,0.0,9,16.5,-3.245,0,5.43,195.989,59.599999999999994,2018-01-12,38,Tonight Alive,Just For Now,0,0,0,3.9828833333333336,0,0,0,0,1
Tonight Alive: Burning On,0,0.173,59.9,87.7,0.0,2,9.09,-3.5839999999999996,0,3.7600000000000002,127.005,48.8,2018-01-12,33,Tonight Alive,Burning On,0,0,0,3.32,0,0,0,0,1
Tonight Alive: Waiting For The End,0,0.032,41.2,92.3,0.0,8,31.900000000000002,-5.6579999999999995,0,7.200000000000001,114.927,56.49999999999999,2018-01-12,29,Tonight Alive,Waiting For The End,0,0,0,3.65,0,0,0,0,1
Tonight Alive: Last Light,0,0.443,53.400000000000006,79.0,0.0,7,8.32,-4.698,1,4.25,118.0,19.6,2018-01-12,28,Tonight Alive,Last Light,0,0,0,3.86355,0,0,0,0,1
Tonight Alive: Looking For Heaven,0,86.7,56.00000000000001,31.900000000000002,0.0,11,11.9,-8.095,1,2.85,128.969,17.5,2018-01-12,31,Tonight Alive,Looking For Heaven,0,0,0,4.15155,0,0,0,0,1
Tonight Alive: My Underworld (Feat. Corey Taylor),0,1.7399999999999998,40.3,68.7,0.0,2,8.9,-4.583,1,4.24,179.735,11.7,2018-01-12,38,Tonight Alive,My Underworld (Feat. Corey Taylor),0,0,0,3.600216666666667,0,0,0,0,1
Anvil: Bitch in the Box,0,0.443,54.400000000000006,90.9,0.000959,9,40.7,-3.208,1,8.649999999999999,119.37700000000001,72.7,2018-01-19,26,Anvil,Bitch in the Box,0,0,0,4.470716666666666,0,1,0,0,0
