,track,artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,duration_ms,release_date,id,artist_id,track_id,popularity,analysis_url,time_signature,track_href,type,uri,index,matches
10,Without Me,Halsey,0.297,0.752,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,0.533,201661,2018-10-04,5p7ujcrUXASCNwRaWNHR1C,26VFTg2z8YR0cCuwLzESi2,5p7ujcrUXASCNwRaWNHR1C,87,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Without Me Halsey,Without Me Halsey
11,Better Now,Post Malone,0.354,0.68,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,0.374,231267,2018-04-27,7dt6x5M1jzdTEt8oCbisTK,246dkjvS1zLTtiykXe5h60,7dt6x5M1jzdTEt8oCbisTK,85,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,4,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,audio_features,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Better Now Post Malone,Better Now Post Malone
12,Better,Khalid,0.0765,0.596,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,0.112,229320,2018-10-18,6zeeWid2sgw4lap2jV61PZ,6LuN9FCkKOj5PcnpouEgny,6zeeWid2sgw4lap2jV61PZ,80,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,4,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,audio_features,spotify:track:6zeeWid2sgw4lap2jV61PZ,Better Khalid,Better Khalid
13,SAD!,XXXTENTACION,0.258,0.74,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,0.473,166606,2018-03-16,3ee8Jmje8o58CHK66QrVC2,15UsOTVnJzReFVN1VCnxy4,3ee8Jmje8o58CHK66QrVC2,84,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,4,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,SAD! XXXTENTACION,Sad! XXXTENTACION
14,rockstar (feat. 21 Savage),Post Malone,0.117,0.587,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,0.14,218147,2018-04-27,0e7ipj03S05BNilyu5bRzt,246dkjvS1zLTtiykXe5h60,0e7ipj03S05BNilyu5bRzt,85,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,4,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,audio_features,spotify:track:0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage) Post Malone,Rockstar Post Malone Featuring 21 Savage
15,a lot,21 Savage,0.0395,0.837,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,0.274,288624,2018-12-21,2t8yVaLvJ0RenpXUIAC52d,1URnnhqYAYcrqrcwql10ft,2t8yVaLvJ0RenpXUIAC52d,80,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,4,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,audio_features,spotify:track:2t8yVaLvJ0RenpXUIAC52d,a lot 21 Savage,A Lot 21 Savage
16,Beautiful Crazy,Luke Combs,0.676,0.552,0.402,0.0,11,0.0928,-7.431,1,0.0262,103.313,0.382,193200,2018-06-01,2rxQMGVafnNaRaXlRMWPde,718COspgdWOnwOFpJHRZHS,2rxQMGVafnNaRaXlRMWPde,78,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,4,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,audio_features,spotify:track:2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy Luke Combs,Beautiful Crazy Luke Combs
17,Whiskey Glasses,Morgan Wallen,0.364,0.615,0.68,1.75e-06,6,0.115,-4.582,1,0.0286,149.992,0.702,234347,2018-04-27,6foY66mWZN0pSRjZ408c00,4oUHIQIBe0LHzYfvXNW4QM,6foY66mWZN0pSRjZ408c00,78,https://api.spotify.com/v1/audio-analysis/6foY66mWZN0pSRjZ408c00,4,https://api.spotify.com/v1/tracks/6foY66mWZN0pSRjZ408c00,audio_features,spotify:track:6foY66mWZN0pSRjZ408c00,Whiskey Glasses Morgan Wallen,Whiskey Glasses Morgan Wallen
18,High Hopes,Panic! At The Disco,0.193,0.579,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,0.681,190947,2018-06-22,1rqqCSm0Qe4I9rUvWncaom,20JZFwl6HVl6yg8a4H3ZqK,1rqqCSm0Qe4I9rUvWncaom,85,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,High Hopes Panic! At The Disco,High Hopes Panic! At The Disco
19,Look Back At It,A Boogie Wit da Hoodie,0.407,0.791,0.587,0.0,3,0.148,-5.075,0,0.0413,96.057,0.536,179449,2018-12-21,3Ol2xnObFdKV9pmRD2t9x8,31W5EY0aAly4Qieq6OFu6I,3Ol2xnObFdKV9pmRD2t9x8,81,https://api.spotify.com/v1/audio-analysis/3Ol2xnObFdKV9pmRD2t9x8,4,https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8,audio_features,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,Look Back At It A Boogie Wit da Hoodie,Look Back At It A Boogie Wit da Hoodie
20,Moonlight,XXXTENTACION,0.556,0.921,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,0.711,135090,2018-03-16,0JP9xo3adEtGSdUEISiszL,15UsOTVnJzReFVN1VCnxy4,0JP9xo3adEtGSdUEISiszL,83,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,4,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,audio_features,spotify:track:0JP9xo3adEtGSdUEISiszL,Moonlight XXXTENTACION,Moonlight XXXTENTACION
21,Faucet Failure,Ski Mask The Slump God,0.111,0.935,0.552,0.0,10,0.0952,-9.373,0,0.335,99.993,0.615,145627,2018-11-30,1ThmUihH9dF8EV08ku5AXN,2rhFzFmezpnW82MNqEKVry,1ThmUihH9dF8EV08ku5AXN,79,https://api.spotify.com/v1/audio-analysis/1ThmUihH9dF8EV08ku5AXN,4,https://api.spotify.com/v1/tracks/1ThmUihH9dF8EV08ku5AXN,audio_features,spotify:track:1ThmUihH9dF8EV08ku5AXN,Faucet Failure Ski Mask The Slump God,Faucet Failure Ski Mask The Slump God
22,SLOW DANCING IN THE DARK,Joji,0.544,0.515,0.479,0.00598,3,0.191,-7.458,1,0.0261,88.964,0.284,209274,2018-10-26,0rKtyWc8bvkriBthvHKY8d,3MZsBdqDrRTJihTHQrO6Dq,0rKtyWc8bvkriBthvHKY8d,80,https://api.spotify.com/v1/audio-analysis/0rKtyWc8bvkriBthvHKY8d,4,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,audio_features,spotify:track:0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK Joji,Slow Dancing In The Dark Joji
23,ZEZE (feat. Travis Scott & Offset),Kodak Black,0.0521,0.861,0.603,0.0,8,0.0924,-5.788,0,0.176,98.043,0.504,228760,2018-12-14,0FZ4Dmg8jJJAPJnvBIzD9z,46SHBwWsqBkxI7EeeBEQG7,0FZ4Dmg8jJJAPJnvBIzD9z,81,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,4,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,audio_features,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset) Kodak Black,ZEZE Kodak Black Featuring Travis Scott & Offset
24,Envy Me,Calboy,0.282,0.556,0.481,0.0,11,0.216,-7.663,1,0.313,149.025,0.581,120137,2018-12-13,05t7JMip6JrLuSrMV5yYjX,0HkcYmcjrBR3SCw9Ld5VZk,05t7JMip6JrLuSrMV5yYjX,79,https://api.spotify.com/v1/audio-analysis/05t7JMip6JrLuSrMV5yYjX,4,https://api.spotify.com/v1/tracks/05t7JMip6JrLuSrMV5yYjX,audio_features,spotify:track:05t7JMip6JrLuSrMV5yYjX,Envy Me Calboy,Envy Me Calboy
25,"Hey Look Ma, I Made It",Panic! At The Disco,0.0137,0.577,0.833,0.0,5,0.121,-3.337,1,0.0695,107.936,0.58,169667,2018-06-22,22oEJW6r2rMb9z4IntfyEa,20JZFwl6HVl6yg8a4H3ZqK,22oEJW6r2rMb9z4IntfyEa,80,https://api.spotify.com/v1/audio-analysis/22oEJW6r2rMb9z4IntfyEa,4,https://api.spotify.com/v1/tracks/22oEJW6r2rMb9z4IntfyEa,audio_features,spotify:track:22oEJW6r2rMb9z4IntfyEa,"Hey Look Ma, I Made It Panic! At The Disco","Hey Look Ma, I Made It Panic! At The Disco"
26,Act Up,City Girls,0.0167,0.938,0.638,0.0,8,0.111,-4.713,1,0.189,97.075,0.313,158332,2018-11-16,3A2yGHWIzmGEIolwonU69h,37hAfseJWi0G3Scife12Il,3A2yGHWIzmGEIolwonU69h,78,https://api.spotify.com/v1/audio-analysis/3A2yGHWIzmGEIolwonU69h,4,https://api.spotify.com/v1/tracks/3A2yGHWIzmGEIolwonU69h,audio_features,spotify:track:3A2yGHWIzmGEIolwonU69h,Act Up City Girls,Act Up City Girls
27,Nonstop,Drake,0.0164,0.912,0.412,0.013,7,0.104,-8.074,1,0.124,154.983,0.422,238614,2018-06-29,0TlLq3lA83rQOYtrqBqSct,3TVXtAsR1Inumwj472S9r4,0TlLq3lA83rQOYtrqBqSct,81,https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct,4,https://api.spotify.com/v1/tracks/0TlLq3lA83rQOYtrqBqSct,audio_features,spotify:track:0TlLq3lA83rQOYtrqBqSct,Nonstop Drake,Nonstop Drake
28,I Like It,Cardi B,0.099,0.816,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,0.65,253390,2018-04-06,58q2HKrzhC3ozto2nDdN4z,4kYSro6naA4h99UJvo89HB,58q2HKrzhC3ozto2nDdN4z,83,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,4,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,I Like It Cardi B,"I Like It Cardi B, Bad Bunny & J Balvin"
29,Sweet but Psycho,Ava Max,0.0691,0.719,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,0.628,187436,2018-08-17,25sgk305KZfyuqVBQIahim,4npEfmQ6YuiwW1GpUmaq3F,25sgk305KZfyuqVBQIahim,86,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,Sweet but Psycho Ava Max,Sweet But Psycho Ava Max
30,All Girls Are The Same,Juice WRLD,0.0769,0.671,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,0.203,165820,2018-12-10,4VXIryQMWpIdGgYR4TrjT1,4MCBfE4596Uoi2O4DtmEMz,4VXIryQMWpIdGgYR4TrjT1,79,https://api.spotify.com/v1/audio-analysis/4VXIryQMWpIdGgYR4TrjT1,4,https://api.spotify.com/v1/tracks/4VXIryQMWpIdGgYR4TrjT1,audio_features,spotify:track:4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same Juice WRLD,All Girls Are The Same Juice WRLD
31,Yes Indeed,Lil Baby,0.035,0.964,0.346,0.0,5,0.108,-9.309,0,0.53,119.958,0.562,142273,2018-05-18,6vN77lE9LK6HP2DewaN6HZ,5f7VJjfbwm532GiveGC0ZK,6vN77lE9LK6HP2DewaN6HZ,78,https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ,4,https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ,audio_features,spotify:track:6vN77lE9LK6HP2DewaN6HZ,Yes Indeed Lil Baby,Yes Indeed Lil Baby & Drake
32,Psycho (feat. Ty Dolla $ign),Post Malone,0.58,0.739,0.559,0.0,8,0.112,-8.011,1,0.117,140.124,0.439,221440,2018-04-27,3swc6WTsr7rl9DqQKQA55C,246dkjvS1zLTtiykXe5h60,3swc6WTsr7rl9DqQKQA55C,82,https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C,4,https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C,audio_features,spotify:track:3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign) Post Malone,Psycho Post Malone Featuring Ty Dolla $ign
33,Mo Bamba,Sheck Wes,0.194,0.729,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,0.261,183907,2018-10-05,1xzBco0xcoJEDXktl7Jxrr,2RDOrhPqAM4jzTRCEb19qX,1xzBco0xcoJEDXktl7Jxrr,80,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,4,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,audio_features,spotify:track:1xzBco0xcoJEDXktl7Jxrr,Mo Bamba Sheck Wes,Mo Bamba Sheck Wes
34,Leave Me Alone,Flipp Dinero,0.107,0.792,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,0.742,195637,2018-09-04,14mHfNsSHN0FbLftyjrV9g,2HUwZ0kumzCSlhFcjFZfpp,14mHfNsSHN0FbLftyjrV9g,79,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,4,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,audio_features,spotify:track:14mHfNsSHN0FbLftyjrV9g,Leave Me Alone Flipp Dinero,Leave Me Alone Flipp Dinero
35,Eastside (with Halsey & Khalid),benny blanco,0.555,0.56,0.68,0.0,6,0.116,-7.648,0,0.321,89.391,0.319,173800,2018-07-12,0d2iYfpKoM0QCKvcLCkBao,5CiGnKThu5ctn9pBxv7DGa,0d2iYfpKoM0QCKvcLCkBao,83,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,4,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,audio_features,spotify:track:0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid) benny blanco,"Eastside benny blanco, Halsey & Khalid"
36,Armed And Dangerous,Juice WRLD,0.186,0.736,0.67,0.0,10,0.114,-6.702,1,0.311,130.032,0.845,169999,2018-12-10,5wujBwqG7INdStqGd4tRMX,4MCBfE4596Uoi2O4DtmEMz,5wujBwqG7INdStqGd4tRMX,78,https://api.spotify.com/v1/audio-analysis/5wujBwqG7INdStqGd4tRMX,4,https://api.spotify.com/v1/tracks/5wujBwqG7INdStqGd4tRMX,audio_features,spotify:track:5wujBwqG7INdStqGd4tRMX,Armed And Dangerous Juice WRLD,Armed And Dangerous Juice WRLD
37,God's Plan,Drake,0.0332,0.754,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,0.357,198973,2018-06-29,6DCZcSspjsKoFjzjrWoCdn,3TVXtAsR1Inumwj472S9r4,6DCZcSspjsKoFjzjrWoCdn,83,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,4,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,God's Plan Drake,God's Plan Drake
38,The Middle,Zedd,0.171,0.753,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,0.437,184732,2018-01-23,09IStsImFySgyp0pIQdqAc,2qxJFvFYMEDqd7ui6kSAcq,09IStsImFySgyp0pIQdqAc,82,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,4,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,audio_features,spotify:track:09IStsImFySgyp0pIQdqAc,The Middle Zedd,"The Middle Zedd, Maren Morris & Grey"
39,Taste (feat. Offset),Tyga,0.0236,0.884,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,0.342,232959,2018-05-16,5IaHrVsrferBYDm0bDyABy,5LHRHt1k9lMyONurDHEdrp,5IaHrVsrferBYDm0bDyABy,81,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,4,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,audio_features,spotify:track:5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset) Tyga,Dubai Shit Huncho Jack Featuring Offset
40,Shallow,Lady Gaga,0.371,0.572,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,0.323,215733,2018-10-05,2VxeLyX666F8uXCJ0dZF8B,1HY2Jd0NmPuamShAr6KMms,2VxeLyX666F8uXCJ0dZF8B,87,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,Shallow Lady Gaga,Shallow Lady Gaga & Bradley Cooper
41,Bitchuary,Shordie Shordie,0.349,0.762,0.383,0.0,5,0.127,-10.098,0,0.202,92.947,0.44,134213,2018-12-08,4dV3okcjbQwTcg4ObIGr4N,5fyvTyetDr7gvLafBsEEhU,4dV3okcjbQwTcg4ObIGr4N,75,https://api.spotify.com/v1/audio-analysis/4dV3okcjbQwTcg4ObIGr4N,4,https://api.spotify.com/v1/tracks/4dV3okcjbQwTcg4ObIGr4N,audio_features,spotify:track:4dV3okcjbQwTcg4ObIGr4N,Bitchuary Shordie Shordie,
42,Money,Cardi B,0.00534,0.95,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,0.219,183527,2018-10-23,2GGMabyHXnJmjY6CXhhB2e,4kYSro6naA4h99UJvo89HB,2GGMabyHXnJmjY6CXhhB2e,78,https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,4,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,audio_features,spotify:track:2GGMabyHXnJmjY6CXhhB2e,Money Cardi B,Money Cardi B
43,changes,XXXTENTACION,0.883,0.669,0.308,0.0,11,0.0984,-10.068,1,0.029,64.934,0.52,121887,2018-03-16,7AFASza1mXqntmGtbxXprO,15UsOTVnJzReFVN1VCnxy4,7AFASza1mXqntmGtbxXprO,81,https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO,4,https://api.spotify.com/v1/tracks/7AFASza1mXqntmGtbxXprO,audio_features,spotify:track:7AFASza1mXqntmGtbxXprO,changes XXXTENTACION,Changes XXXTENTACION
44,Youngblood,5 Seconds of Summer,0.0169,0.596,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,0.152,203418,2018-06-15,2iUXsYOEPhVqEBwsqP70rE,5Rl15oVamLq7FbSb0NNBNy,2iUXsYOEPhVqEBwsqP70rE,81,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,4,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,audio_features,spotify:track:2iUXsYOEPhVqEBwsqP70rE,Youngblood 5 Seconds of Summer,Youngblood 5 Seconds Of Summer
45,MIA (feat. Drake),Bad Bunny,0.0141,0.817,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,0.158,210368,2018-10-11,116H0KvKr2Zl4RPuVBruDO,4q3ewBCX7sLwd24euuV69X,116H0KvKr2Zl4RPuVBruDO,84,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake) Bad Bunny,Bad At Love Halsey
46,3 Nights,Dominic Fike,0.223,0.815,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,0.877,177667,2018-10-16,1tNJrcVe6gwLEiZCtprs1u,6USv9qhCn6zfxlBQIYJ9qs,1tNJrcVe6gwLEiZCtprs1u,85,https://api.spotify.com/v1/audio-analysis/1tNJrcVe6gwLEiZCtprs1u,4,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u,audio_features,spotify:track:1tNJrcVe6gwLEiZCtprs1u,3 Nights Dominic Fike,Saturday Nights Khalid & Kane Brown
47,Nice For What,Drake,0.0891,0.586,0.909,0.000109,8,0.119,-6.474,1,0.0705,93.394,0.757,210747,2018-06-29,3CA9pLiwRIGtUBiMjbZmRw,3TVXtAsR1Inumwj472S9r4,3CA9pLiwRIGtUBiMjbZmRw,79,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,4,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Nice For What Drake,Nice For What Drake
